| ru_number  |ra_number  |rura_tot_pcts|rura_voters|st_postal|
|   3008|  0| 1058|1730500|AZ   |
|   3008|  0| 1058|1730500|AZ   |
|   3009|  0|   73|  99800|AZ   |
|   3009|  0|   73|  99800|AZ   |
|   3009|  0|   73|  99800|AZ   |
|   3009|  0|   73|  99800|AZ   |
|   3010|  0|   70|  64000|AZ   |
|   3010|  0|   70|  64000|AZ   |
|   3010|  0|   70|  64000|AZ   |
|   3010|  0|   70|  64000|AZ   |
|   3011|  0|  401| 523000|AZ   |
|   3011|  0|  401| 523000|AZ   |
|   3011|  0|  401| 523000|AZ   |
|   3011|  0|  401| 523000|AZ   |
|   3012|  0|   67| 107500|AZ   |
|   3012|  0|   67| 107500|AZ   |
|   3012|  0|   67| 107500|AZ   |
|   3012|  0|   67| 107500|AZ   |
|   3013|  0|   24|  22600|AZ   |
|   3013|  0|   24|  22600|AZ   |
|   3013|  0|   24|  22600|AZ   |
|   3013|  0|   24|  22600|AZ   |
|   3014|  0|  103| 113000|AZ   |
|   3014|  0|  103| 113000|AZ   |
|   3014|  0|  103| 113000|AZ   |
|   3014|  0|  103| 113000|AZ   |
|   3015|  0|   42|  67000|AZ   |
|   3015|  0|   42|  67000|AZ   |
|   3015|  0|   42|  67000|AZ   |
|   3015|  0|   42|  67000|AZ   |
|   4001|  0|   30|   9044|AR   |
|   4001|  0|   30|   9044|AR   |
|   4001|  0|   30|   9044|AR   |
|   4002|  0|   24|  12027|AR   |
|   4002|  0|   24|  12027|AR   |
|   4002|  0|   24|  12027|AR   |
|   4003|  0|   42|  25469|AR   |
|   4003|  0|   42|  25469|AR   |
|   4003|  0|   42|  25469|AR   |
|   4004|  0|   83|  79898|AR   |
|   4004|  0|   83|  79898|AR   |
|   4004|  0|   83|  79898|AR   |
|   4005|  0|   29|  18050|AR   |
|   4005|  0|   29|  18050|AR   |
|   4005|  0|   29|  18050|AR   |
|   4006|  0|   16|   5939|AR   |
|   4006|  0|   16|   5939|AR   |
|   4006|  0|   16|   5939|AR   |
|   4007|  0|   13|   3698|AR   |
|   4007|  0|   13|   3698|AR   |
|   4007|  0|   13|   3698|AR   |
|   4008|  0|   29|  11719|AR   |
|   4008|  0|   29|  11719|AR   |
|   4008|  0|   29|  11719|AR   |
|   4009|  0|   11|   7025|AR   |
|   4009|  0|   11|   7025|AR   |
|   4009|  0|   11|   7025|AR   |
|   4010|  0|   25|  11140|AR   |
|   4010|  0|   25|  11140|AR   |
|   4010|  0|   25|  11140|AR   |
|   4011|  0|   19|  10150|AR   |
|   4011|  0|   19|  10150|AR   |
|   4011|  0|   19|  10150|AR   |
|   4012|  0|   31|  15526|AR   |
|   4012|  0|   31|  15526|AR   |
|   4012|  0|   31|  15526|AR   |
|   4013|  0|   20|   4754|AR   |
|   4013|  0|   20|   4754|AR   |
|   4013|  0|   20|   4754|AR   |
|   4014|  0|   19|  16398|AR   |
|   4014|  0|   19|  16398|AR   |
|   4014|  0|   19|  16398|AR   |
|   4015|  0|   29|  11271|AR   |
|   4015|  0|   29|  11271|AR   |
|   4015|  0|   29|  11271|AR   |
|   4016|  0|   25|  44835|AR   |
|   4016|  0|   25|  44835|AR   |
|   4016|  0|   25|  44835|AR   |
|   4017|  0|   45|  21847|AR   |
|   4017|  0|   45|  21847|AR   |
|   4017|  0|   45|  21847|AR   |
|   4018|  0|   42|  24442|AR   |
|   4018|  0|   42|  24442|AR   |
|   4018|  0|   42|  24442|AR   |
|   4019|  0|   18|  11130|AR   |
|   4019|  0|   18|  11130|AR   |
|   4019|  0|   18|  11130|AR   |
|   4020|  0|   19|   5563|AR   |
|   4020|  0|   19|   5563|AR   |
|   4020|  0|   19|   5563|AR   |
|   4021|  0|   23|   9043|AR   |
|   4021|  0|   23|   9043|AR   |
|   4021|  0|   23|   9043|AR   |
|   4022|  0|   19|   8061|AR   |
|   4022|  0|   19|   8061|AR   |
|   4022|  0|   19|   8061|AR   |
|   4023|  0|   47|  50712|AR   |
|   4023|  0|   47|  50712|AR   |
|   4023|  0|   47|  50712|AR   |
|   4024|  0|   30|   9398|AR   |
|   4024|  0|   30|   9398|AR   |
|   4024|  0|   30|   9398|AR   |
|   4025|  0|   18|   6819|AR   |
|   4025|  0|   18|   6819|AR   |
|   4025|  0|   18|   6819|AR   |
|   4026|  0|   68|  62731|AR   |
|   4026|  0|   68|  62731|AR   |
|   4026|  0|   68|  62731|AR   |
|   4027|  0|   20|   9425|AR   |
|   4027|  0|   20|   9425|AR   |
|   4027|  0|   20|   9425|AR   |
|   4028|  0|   21|  19421|AR   |
|   4028|  0|   21|  19421|AR   |
|   4028|  0|   21|  19421|AR   |
|   4029|  0|   29|   9357|AR   |
|   4029|  0|   29|   9357|AR   |
|   4029|  0|   29|   9357|AR   |
|   4030|  0|   29|  17403|AR   |
|   4030|  0|   29|  17403|AR   |
|   4030|  0|   29|  17403|AR   |
|   4031|  0|   21|   6653|AR   |
|   4031|  0|   21|   6653|AR   |
|   4031|  0|   21|   6653|AR   |
|   4032|  0|   30|  20302|AR   |
|   4032|  0|   30|  20302|AR   |
|   4032|  0|   30|  20302|AR   |
|   4033|  0|   42|   8171|AR   |
|   4033|  0|   42|   8171|AR   |
|   4033|  0|   42|   8171|AR   |
|   4034|  0|   47|   9158|AR   |
|   4034|  0|   47|   9158|AR   |
|   4034|  0|   47|   9158|AR   |
|   4035|  0|  208|  42807|AR   |
|   4035|  0|  208|  42807|AR   |
|   4035|  0|  208|  42807|AR   |
|   4036|  0|   21|  12839|AR   |
|   4036|  0|   21|  12839|AR   |
|   4036|  0|   21|  12839|AR   |
|   4037|  0|   22|   4114|AR   |
|   4037|  0|   22|   4114|AR   |
|   4037|  0|   22|   4114|AR   |
|   4038|  0|   23|   9280|AR   |
|   4038|  0|   23|   9280|AR   |
|   4038|  0|   23|   9280|AR   |
|   4039|  0|   15|   6043|AR   |
|   4039|  0|   15|   6043|AR   |
|   4039|  0|   15|   6043|AR   |
|   4040|  0|   27|   6763|AR   |
|   4040|  0|   27|   6763|AR   |
|   4040|  0|   27|   6763|AR   |
|   4041|  0|   22|   7774|AR   |
|   4041|  0|   22|   7774|AR   |
|   4041|  0|   22|   7774|AR   |
|   4042|  0|   31|  12013|AR   |
|   4042|  0|   31|  12013|AR   |
|   4042|  0|   31|  12013|AR   |
|   4043|  0|   35|  30634|AR   |
|   4043|  0|   35|  30634|AR   |
|   4043|  0|   35|  30634|AR   |
|   4044|  0|   27|   7021|AR   |
|   4044|  0|   27|   7021|AR   |
|   4044|  0|   27|   7021|AR   |
|   4045|  0|   36|   9285|AR   |
|   4045|  0|   36|   9285|AR   |
|   4045|  0|   36|   9285|AR   |
|   4046|  0|   28|  19303|AR   |
|   4046|  0|   28|  19303|AR   |
|   4046|  0|   28|  19303|AR   |
|   4047|  0|   25|  18887|AR   |
|   4047|  0|   25|  18887|AR   |
|   4047|  0|   25|  18887|AR   |
|   4048|  0|   18|   5837|AR   |
|   4048|  0|   18|   5837|AR   |
|   4048|  0|   18|   5837|AR   |
|   4049|  0|   16|   4789|AR   |
|   4049|  0|   16|   4789|AR   |
|   4049|  0|   16|   4789|AR   |
|   4050|  0|   21|   6047|AR   |
|   4050|  0|   21|   6047|AR   |
|   4050|  0|   21|   6047|AR   |
|   4051|  0|   21|   6545|AR   |
|   4051|  0|   21|   6545|AR   |
|   4051|  0|   21|   6545|AR   |
|   4052|  0|   23|  19105|AR   |
|   4052|  0|   23|  19105|AR   |
|   4052|  0|   23|  19105|AR   |
|   4053|  0|   19|   6068|AR   |
|   4053|  0|   19|   6068|AR   |
|   4053|  0|   19|   6068|AR   |
|   4054|  0|   57|  12825|AR   |
|   4054|  0|   57|  12825|AR   |
|   4054|  0|   57|  12825|AR   |
|   4055|  0|   15|   5291|AR   |
|   4055|  0|   15|   5291|AR   |
|   4055|  0|   15|   5291|AR   |
|   4056|  0|   42|  11344|AR   |
|   4056|  0|   42|  11344|AR   |
|   4056|  0|   42|  11344|AR   |
|   4057|  0|   20|  10180|AR   |
|   4057|  0|   20|  10180|AR   |
|   4057|  0|   20|  10180|AR   |
|   4058|  0|   58|  26959|AR   |
|   4058|  0|   58|  26959|AR   |
|   4058|  0|   58|  26959|AR   |
|   4059|  0|   22|   4788|AR   |
|   4059|  0|   22|   4788|AR   |
|   4059|  0|   22|   4788|AR   |
|   4060|  0|  133| 166621|AR   |
|   4060|  0|  133| 166621|AR   |
|   4060|  0|  133| 166621|AR   |
|   4061|  0|   26|   8273|AR   |
|   4061|  0|   26|   8273|AR   |
|   4061|  0|   26|   8273|AR   |
|   4062|  0|   25|  14624|AR   |
|   4062|  0|   25|  14624|AR   |
|   4062|  0|   25|  14624|AR   |
|   4063|  0|   70|  51060|AR   |
|   4063|  0|   70|  51060|AR   |
|   4063|  0|   70|  51060|AR   |
|   4064|  0|   28|   5354|AR   |
|   4064|  0|   28|   5354|AR   |
|   4064|  0|   28|   5354|AR   |
|   4065|  0|   18|   6559|AR   |
|   4065|  0|   18|   6559|AR   |
|   4065|  0|   18|   6559|AR   |
|   4066|  0|   54|  63016|AR   |
|   4066|  0|   54|  63016|AR   |
|   4066|  0|   54|  63016|AR   |
|   4067|  0|   17|   5938|AR   |
|   4067|  0|   17|   5938|AR   |
|   4067|  0|   17|   5938|AR   |
|   4068|  0|   26|  10532|AR   |
|   4068|  0|   26|  10532|AR   |
|   4068|  0|   26|  10532|AR   |
|   4069|  0|   31|   6460|AR   |
|   4069|  0|   31|   6460|AR   |
|   4069|  0|   31|   6460|AR   |
|   4070|  0|   32|  26209|AR   |
|   4070|  0|   32|  26209|AR   |
|   4070|  0|   32|  26209|AR   |
|   4071|  0|   23|  12398|AR   |
|   4071|  0|   23|  12398|AR   |
|   4071|  0|   23|  12398|AR   |
|   4072|  0|  116|  71506|AR   |
|   4072|  0|  116|  71506|AR   |
|   4072|  0|  116|  71506|AR   |
|   4073|  0|   91|  37964|AR   |
|   4073|  0|   91|  37964|AR   |
|   4073|  0|   91|  37964|AR   |
|   4074|  0|   13|   4600|AR   |
|   4074|  0|   13|   4600|AR   |
|   4074|  0|   13|   4600|AR   |
|   4075|  0|   31|   9169|AR   |
|   4075|  0|   31|   9169|AR   |
|   4075|  0|   31|   9169|AR   |
|   5001|  0| 1141| 698009|CA   |
|   5001|  0| 1141| 698009|CA   |
|   5001|  0| 1141| 698009|CA   |
|   5001|  0| 1141| 698009|CA   |
|   5002|  0|5|812|CA   |
|   5002|  0|5|812|CA   |
|   5002|  0|5|812|CA   |
|   5002|  0|5|812|CA   |
|   5003|  0|   57|  19652|CA   |
|   5003|  0|   57|  19652|CA   |
|   5003|  0|   57|  19652|CA   |
|   5003|  0|   57|  19652|CA   |
|   5004|  0|  183| 116205|CA   |
|   5004|  0|  183| 116205|CA   |
|   5004|  0|  183| 116205|CA   |
|   5004|  0|  183| 116205|CA   |
|   5005|  0|   30|  26404|CA   |
|   5005|  0|   30|  26404|CA   |
|   5005|  0|   30|  26404|CA   |
|   5005|  0|   30|  26404|CA   |
|   5006|  0|   17|   7720|CA   |
|   5006|  0|   17|   7720|CA   |
|   5006|  0|   17|   7720|CA   |
|   5006|  0|   17|   7720|CA   |
|   5007|  0|  921| 474926|CA   |
|   5007|  0|  921| 474926|CA   |
|   5007|  0|  921| 474926|CA   |
|   5007|  0|  921| 474926|CA   |
|   5008|  0|   19|  12082|CA   |
|   5008|  0|   19|  12082|CA   |
|   5008|  0|   19|  12082|CA   |
