| polra_number|pol_first_name  |pol_middle_name |pol_last_name   |pol_abbrv   |pol_junior|polra_party|ra_number  |pol_nat_id |polra_in_order|pol_number |st_postal|
|   17543|Jeff||Denham  |Denham  |  |GOP|   5709|  52493| 2|  11139|CA   |
|   18094|David   ||Scott   |Scott   |  |Dem|  12238|   1257| 2|  11139|GA   |
|   18620|Nathan  ||Deal|Deal|  |GOP|  12029|841| 1|  11159|GA   |
|   17439|John||Garamendi   |Garmnd  |  |Dem|   8514|   7136| 1|  11174|CA   |
|   17442|Gary||Clift   |Clift   |  |GOP|   8514|   6767| 2|  11178|CA   |
|   17448|David   ||Harmer  |Harmer  |  |GOP|   5701|  60105| 2|  11179|CA   |
|   18058|Jeremy  ||Cloward |Cloward |  |Grn|   8514|  60107| 3|  11184|CA   |
|   17353|Jerry   ||Brown   |Brown   |  |Dem|   6123|   6622| 1|  11206|CA   |
|   17525|Ron ||Klein   |Klein   |  |Dem|  10396|  53083| 2|  11207|FL   |
|   17362|Jim ||Reed|Reed|  |Dem|   5692|  60871| 1|  11213|CA   |
|   17368|Ami ||Bera|Bera|  |Dem|   5693|  60686| 1|  11219|CA   |
|   17520|Debbie  ||Wasserman Schultz   |WssrmS  |  |Dem|  10401|  11357| 2|  11219|FL   |
|   17369|Clint   ||Curtis  |Curtis  |  |Dem|   5694|  51853| 1|  11220|CA   |
|   17377|Meg ||Whitman |Whitman |  |GOP|   6123|  60373| 2|  11228|CA   |
|   17420|Kendrick||Meek|Meek|  |Dem|  11160|865| 2|  11230|FL   |
|   17415|Carly   ||Fiorina |Fiorina |  |GOP|   8516|  60339| 2|  11248|CA   |
|   17421|Loren   ||Hanks   |Hanks   |  |GOP|   6478|  60826| 2|  11252|CA   |
|   17429|Jim ||Judd|Judd|  |GOP|   5696|  60831| 2|  11255|CA   |
|   17433|Rick||Tubbs   |Tubbs   |  |GOP|   5697|  60833| 2|  11259|CA   |
|   17435|John||Dennis  |Dennis  |  |GOP|   5698|  60873| 2|  11260|CA   |
|   17438|Gerald  ||Hashimoto   |Hashimt |  |GOP|   5699|  60834| 2|  11261|CA   |
|   17450|Mike||Moloney |Moloney |  |GOP|   5702|   1202| 2|  11266|CA   |
|   17451|Chelene ||Nightingale |Nightingl   |  |AIP|   6123|  60869| 4|  11267|CA   |
|   17505|Michael ||Berryhill   |Berryhill   |  |GOP|   5708|  60794| 2|  11290|CA   |
|   17508|Forest  ||Baker   |Baker   |  |GOP|   5703|  60836| 2|  11292|CA   |
|   17510|Dave||Chapman |Chapmn  |  |GOP|   5704|  60837| 2|  11294|CA   |
|   17516|Scott   ||Kirkland|Kirkland|  |GOP|   5705|  60839| 2|  11297|CA   |
|   17524|Nick||Popaditch   |Popdtch |  |GOP|   5743|  60866| 2|  11301|CA   |
|   17540|Loraine ||Goodwin |Goodwin |  |Dem|   5709|  60844| 1|  11310|CA   |
|   17524|Mario   ||Diaz-Balart |Diz-Blrt|  |GOP|  10393|878| 1|  11312|FL   |
|   17550|Andy||Vidak   |Vidak   |  |GOP|   5710|  60796| 2|  11317|CA   |
|   17555|Tom ||Watson  |Watson  |  |GOP|   5713|  60877| 2|  11322|CA   |
|   17556|Timothy ||Allison |Allison |  |Dem|   5714|  60847| 1|  11323|CA   |
|   17561|Mark||Reed|Reed|  |GOP|   5717|  60848| 2|  11326|CA   |
|   17567|Merlin  ||Froyd   |Froyd   |  |GOP|   5718|  60849| 2|  11329|CA   |
|   17568|John||Colbert |Colbert |  |GOP|   5719|  60851| 2|  11330|CA   |
|   18136|Charles ||Wilkerson   |Wilkersn|  |GOP|   5720|  60853| 2|  11335|CA   |
|   17575|Stephen ||Smith   |Smith   |  |GOP|   5721|  60879| 2|  11337|CA   |
|   17577|Edward  ||Schmerling  |Schmrln |  |GOP|   5722|  60855| 2|  11338|CA   |
|   17584|James   ||Andion  |Andion  |  |GOP|   5723|  51826| 2|  11341|CA   |
|   17589|Wayne   ||Miller  |Miller  |  |GOP|   5724|103| 2|  11344|CA   |
|   17590|Bruce   ||Brown   |Brown   |  |GOP|   5725|  60856| 2|  11345|CA   |
|   17591|Mattie  ||Fein|Fein|  |GOP|   5726|  60857| 2|  11346|CA   |
|   17594|Robert  ||Vaughn  |Vaughn  |  |GOP|   5728|  60859| 2|  11349|CA   |
|   17595|Larry   ||Andre   |Andre   |  |GOP|   5729|  60860| 2|  11350|CA   |
