| ru_number  |ra_number  |rura_tot_pcts|rura_voters|st_postal|
|   3006|   4159|8|   3495|AZ   |
|   3007|   4159|   12|   7040|AZ   |
|   3008|   4159| 1142|1596012|AZ   |
|   3009|   4159|   73|  91165|AZ   |
|   3010|   4159|   70|  47190|AZ   |
|   3011|   4159|  417| 436519|AZ   |
|   3012|   4159|   88| 134250|AZ   |
|   3013|   4159|   24|  17691|AZ   |
|   3014|   4159|  112| 109496|AZ   |
|   3015|   4159|   42|  58410|AZ   |
|  1|   4160| 2239|2750496|AZ   |
|   3001|   4160|   45|  33688|AZ   |
|   3002|   4160|   64|  62446|AZ   |
|   3003|   4160|   85|  60829|AZ   |
|   3004|   4160|   39|  25886|AZ   |
|   3005|   4160|   18|  14642|AZ   |
|   3006|   4160|8|   3495|AZ   |
|   3007|   4160|   12|   7040|AZ   |
|   3008|   4160| 1142|1596012|AZ   |
|   3009|   4160|   73|  91165|AZ   |
|   3010|   4160|   70|  47190|AZ   |
|   3011|   4160|  417| 436519|AZ   |
|   3012|   4160|   88| 134250|AZ   |
|   3013|   4160|   24|  17691|AZ   |
|   3014|   4160|  112| 109496|AZ   |
|   3015|   4160|   42|  58410|AZ   |
|  1|   5103| 2406|1303940|AR   |
|   4001|   5103|   28|   8652|AR   |
|   4002|   5103|   24|  10283|AR   |
|   4003|   5103|   41|  24776|AR   |
|   4004|   5103|   83|  91287|AR   |
|   4005|   5103|   27|  19342|AR   |
|   4006|   5103|   16|   4808|AR   |
|   4007|   5103|   12|   2926|AR   |
|   4008|   5103|   29|  12271|AR   |
|   4009|   5103|   11|   5989|AR   |
|   4010|   5103|   19|  10458|AR   |
|   4011|   5103|   17|   8101|AR   |
|   4012|   5103|   35|  14852|AR   |
|   4013|   5103|   19|   4135|AR   |
|   4014|   5103|   17|  13094|AR   |
|   4015|   5103|   32|  10253|AR   |
|   4016|   5103|   23|  40877|AR   |
|   4017|   5103|   43|  24638|AR   |
|   4018|   5103|   26|  24096|AR   |
|   4019|   5103|   24|   9411|AR   |
|   4020|   5103|   10|   4147|AR   |
|   4021|   5103|   21|   6034|AR   |
|   4022|   5103|   17|   8130|AR   |
|   4023|   5103|   48|  51885|AR   |
|   4024|   5103|   29|   8352|AR   |
|   4025|   5103|   14|   6125|AR   |
|   4026|   5103|   42|  57709|AR   |
|   4027|   5103|   20|   8491|AR   |
|   4028|   5103|   32|  17559|AR   |
|   4029|   5103|   30|   9112|AR   |
|   4030|   5103|   32|  15182|AR   |
|   4031|   5103|   19|   5863|AR   |
|   4032|   5103|   30|  15004|AR   |
|   4033|   5103|   47|   6574|AR   |
|   4034|   5103|   19|   7424|AR   |
|   4035|   5103|  178|  39783|AR   |
|   4036|   5103|   22|  10797|AR   |
|   4037|   5103|   21|   3569|AR   |
|   4038|   5103|   30|   8103|AR   |
|   4039|   5103|   16|   4779|AR   |
|   4040|   5103|   26|   5331|AR   |
|   4041|   5103|   22|   6543|AR   |
|   4042|   5103|   38|  10120|AR   |
|   4043|   5103|   26|  27539|AR   |
|   4044|   5103|   27|   7403|AR   |
|   4045|   5103|   16|   8737|AR   |
|   4046|   5103|   27|  19581|AR   |
|   4047|   5103|   71|  18213|AR   |
|   4048|   5103|   15|   4345|AR   |
|   4049|   5103|   18|   4491|AR   |
|   4050|   5103|   19|   4616|AR   |
|   4051|   5103|   23|   4831|AR   |
|   4052|   5103|   22|  15537|AR   |
|   4053|   5103|   17|   5391|AR   |
|   4054|   5103|   20|  12646|AR   |
|   4055|   5103|   13|   4798|AR   |
|   4056|   5103|   10|  10147|AR   |
|   4057|   5103|   17|   9908|AR   |
|   4058|   5103|   58|  26715|AR   |
|   4059|   5103|   21|   4057|AR   |
|   4060|   5103|  136| 193611|AR   |
|   4061|   5103|   29|   8214|AR   |
|   4062|   5103|   19|  12926|AR   |
|   4063|   5103|   36|  53583|AR   |
|   4064|   5103|   27|   5113|AR   |
|   4065|   5103|   19|   4577|AR   |
|   4066|   5103|   49|  54879|AR   |
|   4067|   5103|   16|   5633|AR   |
|   4068|   5103|   26|   9790|AR   |
|   4069|   5103|   29|   6708|AR   |
|   4070|   5103|   21|  22848|AR   |
|   4071|   5103|   21|   7574|AR   |
|   4072|   5103|  127|  84107|AR   |
|   4073|   5103|   94|  36119|AR   |
|   4074|   5103|   20|   3754|AR   |
|   4075|   5103|   28|   7605|AR   |
|  1|   5104|  687| 311140|AR   |
|   4001|   5104|   28|   8652|AR   |
|   4003|   5104|   41|  24776|AR   |
|   4011|   5104|   17|   8101|AR   |
|   4012|   5104|   35|  14852|AR   |
|   4016|   5104|   23|  40877|AR   |
|   4018|   5104|   26|  24096|AR   |
|   4019|   5104|   24|   9411|AR   |
|   4025|   5104|   14|   6125|AR   |
|   4028|   5104|   32|  17559|AR   |
|   4032|   5104|   30|  15004|AR   |
|   4033|   5104|   47|   6574|AR   |
|   4034|   5104|   19|   7424|AR   |
|   4038|   5104|   30|   8103|AR   |
|   4039|   5104|   16|   4779|AR   |
|   4043|   5104|   26|  27539|AR   |
|   4047|   5104|   71|  18213|AR   |
|   4048|   5104|   15|   4345|AR   |
|   4054|   5104|   20|  12646|AR   |
|   4056|   5104|   10|  10147|AR   |
|   4059|   5104|   21|   4057|AR   |
|   4061|   5104|   29|   8214|AR   |
|   4062|   5104|   19|  12926|AR   |
|   4065|   5104|   19|   4577|AR   |
|   4068|   5104|   26|   9790|AR   |
|   4069|   5104|   29|   6708|AR   |
|   4074|   5104|   20|   3754|AR   |
|  1|   5105|  412| 344673|AR   |
|   4015|   5105|   32|  10253|AR   |
|   4023|   5105|   48|  51885|AR   |
|   4053|   5105|   17|   5391|AR   |
|   4060|   5105|  136| 193611|AR   |
|   4063|   5105|   36|  53583|AR   |
|   4071|   5105|   21|   7574|AR   |
|   4073|   5105|   94|  36119|AR   |
|   4075|   5105|   28|   7605|AR   |
|  1|   5107|  774| 316152|AR   |
|   4002|   5107|   24|  10283|AR   |
|   4006|   5107|   16|   4808|AR   |
|   4007|   5107|   12|   2926|AR   |
|   4009|   5107|   11|   5989|AR   |
|   4010|   5107|   19|  10458|AR   |
|   4013|   5107|   19|   4135|AR   |
|   4014|   5107|   17|  13094|AR   |
|   4020|   5107|   10|   4147|AR   |
|   4021|   5107|   21|   6034|AR   |
|   4022|   5107|   17|   8130|AR   |
|   4026|   5107|   42|  57709|AR   |
|   4027|   5107|   20|   8491|AR   |
|   4029|   5107|   30|   9112|AR   |
|   4030|   5107|   32|  15182|AR   |
|   4031|   5107|   19|   5863|AR   |
|   4035|   5107|  178|  39783|AR   |
|   4037|   5107|   21|   3569|AR   |
|   4040|   5107|   26|   5331|AR   |
|   4041|   5107|   22|   6543|AR   |
|   4042|   5107|   38|  10120|AR   |
|   4046|   5107|   27|  19581|AR   |
|   4049|   5107|   18|   4491|AR   |
|   4050|   5107|   19|   4616|AR   |
|   4052|   5107|   22|  15537|AR   |
|   4055|   5107|   13|   4798|AR   |
|   4057|   5107|   17|   9908|AR   |
|   4064|   5107|   27|   5113|AR   |
